T,lon,lat,Regime,Link
2976,-81.276,29.895,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2976_results.png
2564,-80.135,27.103,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2564_results.png
1119,-79.247,33.135,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1119_results.png
1537,-81.275,31.252,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1537_results.png
2899,-80.939,29.102,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2899_results.png
3714,-82.82,28.04,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T3714_results.png
1918,-77.234,34.593,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1918_results.png
2440,-80.044,26.541,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2440_results.png
1522,-81.369,31.145,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1522_results.png
3619,-84.706,29.753,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T3619_results.png
4000,-82.228,26.629,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T4000_results.png
1690,-80.079,26.284,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1690_results.png
3763,-82.819,27.813,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T3763_results.png
1331,-81.266,29.858,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1331_results.png
1273,-81.168,29.563,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1273_results.png
3898,-82.479,27.146,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T3898_results.png
1264,-81.15,29.526,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1264_results.png
3941,-82.357,26.917,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T3941_results.png
2414,-80.062,26.429,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2414_results.png
3656,-85.408,29.785,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T3656_results.png
1900,-77.363,34.518,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1900_results.png
2684,-80.364,27.682,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2684_results.png
1357,-81.317,29.999,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1357_results.png
2710,-80.408,27.786,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2710_results.png
2959,-81.08,29.378,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2959_results.png
1593,-81.799,26.087,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1593_results.png
1223,-77.365,34.517,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1223_results.png
3899,-82.476,27.139,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T3899_results.png
3059,-86.765,30.391,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T3059_results.png
882,-81.16,31.575,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T882_results.png
3800,-82.738,27.694,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T3800_results.png
1739,-80.035,26.745,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1739_results.png
3041,-87.13,30.333,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T3041_results.png
1441,-81.395,30.393,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1441_results.png
1787,-77.877,34.068,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1787_results.png
2679,-80.358,27.661,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2679_results.png
3026,-87.464,30.292,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T3026_results.png
3992,-82.249,26.664,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T3992_results.png
1543,-81.967,26.463,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1543_results.png
3852,-82.66,27.411,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T3852_results.png
1270,-81.162,29.551,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1270_results.png
3043,-87.091,30.34,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T3043_results.png
1206,-77.717,34.292,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1206_results.png
1716,-80.049,26.516,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1716_results.png
3959,-82.305,26.848,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T3959_results.png
2715,-80.419,27.804,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2715_results.png
2955,-81.072,29.362,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2955_results.png
2772,-80.572,28.111,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2772_results.png
941,-79.676,32.866,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T941_results.png
4059,-82.109,26.43,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T4059_results.png
1125,-79.168,33.304,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1125_results.png
2632,-80.288,27.462,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2632_results.png
1365,-81.326,30.032,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1365_results.png
2815,-80.576,28.424,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2815_results.png
1334,-81.271,29.874,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1334_results.png
2739,-80.467,27.897,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2739_results.png
4157,-89.077,30.223,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T4157_results.png
1540,-81.277,31.276,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1540_results.png
2483,-80.036,26.745,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2483_results.png
3679,-85.888,30.221,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T3679_results.png
901,-80.879,31.962,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T901_results.png
3681,-85.925,30.24,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T3681_results.png
1465,-81.443,30.584,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1465_results.png
2754,-80.514,27.98,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2754_results.png
1519,-81.404,31.068,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1519_results.png
1552,-81.886,26.399,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1552_results.png
897,-80.939,31.906,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T897_results.png
3904,-82.463,27.107,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T3904_results.png
2459,-80.037,26.631,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2459_results.png
2630,-80.285,27.454,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2630_results.png
2906,-80.959,29.135,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2906_results.png
1412,-81.383,30.264,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1412_results.png
1880,-77.501,34.451,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1880_results.png
4021,-82.194,26.527,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T4021_results.png
2421,-80.059,26.457,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2421_results.png
2433,-80.05,26.511,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2433_results.png
2796,-80.608,28.327,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2796_results.png
2951,-81.064,29.345,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2951_results.png
1454,-81.433,30.487,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1454_results.png
2518,-80.06,26.902,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2518_results.png
3767,-82.802,27.801,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T3767_results.png
2604,-80.227,27.323,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2604_results.png
3780,-82.767,27.76,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T3780_results.png
1181,-78.009,33.868,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1181_results.png
3739,-82.849,27.902,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T3739_results.png
2874,-80.787,28.875,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2874_results.png
2900,-80.941,29.105,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2900_results.png
3791,-82.741,27.719,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T3791_results.png
3004,-87.847,30.229,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T3004_results.png
1873,-77.545,34.425,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1873_results.png
2753,-80.51,27.971,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2753_results.png
2519,-80.061,26.906,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2519_results.png
956,-79.17,33.298,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T956_results.png
4131,-81.77,26.029,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T4131_results.png
3986,-82.256,26.692,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T3986_results.png
1120,-79.231,33.143,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1120_results.png
916,-80.612,32.267,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T916_results.png
3882,-82.53,27.239,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T3882_results.png
2528,-80.073,26.948,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2528_results.png
1823,-77.772,34.238,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1823_results.png
2703,-80.394,27.758,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T2703_results.png
1291,-81.202,29.644,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1291_results.png
1656,-80.118,25.982,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1656_results.png
1460,-81.441,30.547,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1460_results.png
1321,-81.261,29.805,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T1321_results.png
3675,-85.797,30.171,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/FIONA_9-20-00/T3675_results.png
