T,lon,lat,Regime,% Vol
3714,-82.82,28.04,Collision,17
3763,-82.819,27.813,Collision,23
3941,-82.357,26.917,Inundation/Overwash,58
3899,-82.476,27.139,Collision,53
3992,-82.249,26.664,Inundation/Overwash,30
3852,-82.66,27.411,Collision,25
4059,-82.109,26.43,Inundation/Overwash,43
3904,-82.463,27.107,Collision,54
3767,-82.802,27.801,Collision,22
3739,-82.849,27.902,Collision,0
4131,-81.77,26.029,Inundation/Overwash,80
3882,-82.53,27.239,Inundation/Overwash,57
3775,-82.784,27.783,Collision,21
1587,-81.806,26.13,Inundation/Overwash,27
4027,-82.189,26.504,Inundation/Overwash,85
3913,-82.445,27.06,Collision,32
3916,-82.434,27.046,Collision,26
3722,-82.828,27.993,Collision,9
3973,-82.269,26.783,Inundation/Overwash,42
3919,-82.417,27.018,Collision,51
3781,-82.765,27.756,Collision,3
3890,-82.503,27.191,Collision,21
4121,-81.805,26.122,Inundation/Overwash,49
3856,-82.645,27.393,Collision,7
3736,-82.845,27.918,Collision,21
4004,-82.224,26.616,Inundation/Overwash,85
3724,-82.828,27.984,Collision,1
4001,-82.227,26.626,Inundation/Overwash,129
4077,-81.932,26.442,Inundation/Overwash,-2
3771,-82.791,27.792,Collision,6
3853,-82.656,27.408,Collision,17
3911,-82.45,27.071,Collision,13
3705,-82.851,28.212,Inundation/Overwash,0
3805,-82.744,27.664,Collision,50
4050,-82.125,26.436,Inundation/Overwash,12
4127,-81.786,26.057,Inundation/Overwash,159
4073,-81.961,26.456,Inundation/Overwash,13
3850,-82.666,27.418,Collision,23
1589,-81.803,26.114,Inundation/Overwash,15
1590,-81.803,26.108,Inundation/Overwash,34
4101,-81.826,26.267,Inundation/Overwash,94
4132,-81.769,26.024,Inundation/Overwash,61
3901,-82.471,27.125,Collision,39
3793,-82.739,27.715,Collision,0
4094,-81.841,26.319,Inundation/Overwash,95
3936,-82.369,26.938,Inundation/Overwash,64
4067,-82.084,26.422,Inundation/Overwash,-12
3751,-82.845,27.851,Collision,-1
4089,-81.853,26.348,Inundation/Overwash,59
1549,-81.909,26.425,Inundation/Overwash,50
4014,-82.202,26.561,Inundation/Overwash,78
1612,-81.751,25.952,Inundation/Overwash,99
3769,-82.796,27.796,Collision,29
3734,-82.843,27.93,Collision,10
4134,-81.747,25.985,Inundation/Overwash,19
4002,-82.226,26.622,Inundation/Overwash,45
3829,-82.713,27.499,Collision,17
3854,-82.653,27.404,Collision,18
3727,-82.829,27.973,Collision,0
3943,-82.353,26.91,Inundation/Overwash,40
3806,-82.745,27.66,Collision,-1
3924,-82.406,26.997,Collision,13
3889,-82.505,27.197,Collision,43
3851,-82.664,27.415,Collision,29
4120,-81.806,26.13,Inundation/Overwash,30
1547,-81.931,26.442,Inundation/Overwash,-19
3818,-82.74,27.529,Collision,6
1544,-81.962,26.457,Inundation/Overwash,0
4065,-82.092,26.424,Inundation/Overwash,42
3935,-82.372,26.943,Inundation/Overwash,66
4062,-82.103,26.428,Inundation/Overwash,8
3952,-82.326,26.878,Inundation/Overwash,40
3838,-82.696,27.458,Collision,17
4123,-81.803,26.108,Inundation/Overwash,30
4088,-81.856,26.353,Inundation/Overwash,30
3848,-82.674,27.424,Collision,17
3841,-82.691,27.446,Collision,5
4092,-81.846,26.33,Inundation/Overwash,44
3858,-82.638,27.383,Collision,10
3956,-82.315,26.862,Inundation/Overwash,35
3909,-82.454,27.081,Collision,30
4009,-82.215,26.583,Inundation/Overwash,20
4126,-81.797,26.085,Inundation/Overwash,83
4024,-82.192,26.517,Inundation/Overwash,90
3895,-82.489,27.164,Collision,12
3721,-82.828,27.997,Collision,3
3755,-82.84,27.841,Collision,3
3872,-82.588,27.323,Inundation/Overwash,30
4003,-82.225,26.619,Inundation/Overwash,59
3888,-82.508,27.202,Collision,40
