T,lon,lat,Regime,Link
4157,-89.077,30.223,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/KATRINA_adv99/T4157_results.png
3004,-87.847,30.229,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/KATRINA_adv99/T3004_results.png
4156,-89.067,30.244,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/KATRINA_adv99/T4156_results.png
3008,-87.796,30.232,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/KATRINA_adv99/T3008_results.png
2990,-88.091,30.245,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/KATRINA_adv99/T2990_results.png
4143,-88.467,30.201,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/KATRINA_adv99/T4143_results.png
4143,-88.467,30.201,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/KATRINA_adv99/T4143_results.png
2996,-87.946,30.232,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/KATRINA_adv99/T2996_results.png
2987,-88.173,30.25,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/KATRINA_adv99/T2987_results.png
3001,-87.868,30.229,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/KATRINA_adv99/T3001_results.png
2988,-88.145,30.251,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/KATRINA_adv99/T2988_results.png
2989,-88.119,30.247,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/KATRINA_adv99/T2989_results.png
2998,-87.917,30.231,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/KATRINA_adv99/T2998_results.png
4149,-88.704,30.243,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/KATRINA_adv99/T4149_results.png
3005,-87.838,30.229,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/KATRINA_adv99/T3005_results.png
2993,-87.966,30.23,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/KATRINA_adv99/T2993_results.png
4144,-88.492,30.206,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/KATRINA_adv99/T4144_results.png
2995,-87.958,30.231,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/KATRINA_adv99/T2995_results.png
2995,-87.958,30.231,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/KATRINA_adv99/T2995_results.png
