T,lon,lat,Regime,Link
3656,-85.408,29.785,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3656_results.png
3654,-85.4,29.75,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3654_results.png
3661,-85.374,29.91,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3661_results.png
3661,-85.374,29.91,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3661_results.png
3661,-85.374,29.91,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3661_results.png
3642,-85.154,29.647,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3642_results.png
3660,-85.358,29.89,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3660_results.png
3676,-85.814,30.18,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3676_results.png
3665,-85.603,30.056,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3665_results.png
3664,-85.585,30.044,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3664_results.png
3648,-85.304,29.684,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3648_results.png
3648,-85.304,29.684,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3648_results.png
3669,-85.705,30.103,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3669_results.png
3658,-85.416,29.834,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3658_results.png
3647,-85.295,29.685,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3647_results.png
3655,-85.406,29.772,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3655_results.png
3670,-85.723,30.114,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3670_results.png
3646,-85.262,29.682,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3646_results.png
3646,-85.262,29.682,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3646_results.png
3662,-85.398,29.933,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3662_results.png
3662,-85.398,29.933,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3662_results.png
3645,-85.234,29.677,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3645_results.png
3659,-85.41,29.857,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3659_results.png
3666,-85.625,30.066,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3666_results.png
3657,-85.415,29.814,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3657_results.png
3663,-85.424,29.949,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3663_results.png
3663,-85.424,29.949,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3663_results.png
3650,-85.321,29.682,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3650_results.png
3650,-85.321,29.682,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3650_results.png
3667,-85.646,30.076,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/MICHAEL_adv00/T3667_results.png
