T,lon,lat,Regime,% Vol,link
2976,-81.276,29.895,Inundation/Overwash,72,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2976_results.png
2899,-80.939,29.102,Collision,49,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2899_results.png
1690,-80.079,26.284,Collision,20,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1690_results.png
1273,-81.168,29.563,Inundation/Overwash,85,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1273_results.png
2414,-80.062,26.429,Inundation/Overwash,65,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2414_results.png
1357,-81.317,29.999,Inundation/Overwash,59,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1357_results.png
2959,-81.08,29.378,Inundation/Overwash,65,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2959_results.png
1441,-81.395,30.393,Inundation/Overwash,3,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1441_results.png
1270,-81.162,29.551,Inundation/Overwash,81,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1270_results.png
2715,-80.419,27.804,Inundation/Overwash,17,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2715_results.png
2772,-80.572,28.111,Inundation/Overwash,77,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2772_results.png
1365,-81.326,30.032,Inundation/Overwash,61,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1365_results.png
1334,-81.271,29.874,Inundation/Overwash,1,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1334_results.png
2483,-80.036,26.745,Inundation/Overwash,72,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2483_results.png
2754,-80.514,27.98,Inundation/Overwash,25,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2754_results.png
2630,-80.285,27.454,Inundation/Overwash,89,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2630_results.png
1412,-81.383,30.264,Inundation/Overwash,15,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1412_results.png
2433,-80.05,26.511,Inundation/Overwash,51,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2433_results.png
2951,-81.064,29.345,Inundation/Overwash,70,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2951_results.png
2518,-80.06,26.902,Collision,46,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2518_results.png
2874,-80.787,28.875,Inundation/Overwash,65,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2874_results.png
2753,-80.51,27.971,Inundation/Overwash,46,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2753_results.png
